country,country_code,report_year,income_poorest_10,income_richest_10,population,region
Albania,ALB,2020,6.1324673,24.124557,2871951,Europe
Albania,ALB,2019,6.0241885,23.889235,2885012,Europe
Albania,ALB,2018,5.476367,23.323376,2894231,Europe
Albania,ALB,2017,4.9050775,22.721241,2898247,Europe
Albania,ALB,2016,4.7005067,23.151937,2897868,Europe
Albania,ALB,2015,4.866551,22.41005,2898634,Europe
Albania,ALB,2014,3.6729488,19.057009,2903748,Europe
Albania,ALB,2012,4.410012,16.009024,2910003,Europe
Albania,ALB,2008,4.598464,16.435902,2992933,Europe
Albania,ALB,2005,3.983527,15.433521,3076155,Europe
Albania,ALB,2002,3.5018895,13.990763,3134094,Europe
Albania,ALB,1996,3.691232,13.164797,3245681,Europe
Australia,AUS,2018,24.849173,112.45976,25119700,Oceania
Australia,AUS,2016,25.319782,111.1576,24329961,Oceania
Australia,AUS,2014,26.135454,113.77737,23595599,Oceania
Australia,AUS,2010,23.558344,107.398926,22141583,Oceania
Australia,AUS,2008,23.507904,106.64971,21370595,Oceania
Australia,AUS,2004,20.17207,86.108444,20046680,Oceania
Australia,AUS,2003,17.779902,80.14958,19819450,Oceania
Australia,AUS,2001,17.304497,77.76851,19365437,Oceania
Australia,AUS,1995,15.184624,67.49578,18095338,Oceania
Australia,AUS,1989,16.0484,73.853874,16869361,Oceania
Australia,AUS,1985,15.748439,71.90577,15835742,Oceania
Australia,AUS,1981,15.687372,68.55632,14949209,Oceania
Costa Rica,CRI,2023,6.0803676,54.834053,5105527,North America
Ecuador,ECU,2023,3.5732248,30.078592,17980079,South America
Indonesia,IDN,2023,3.0955043,13.610656,281190068,Asia
Latvia,LVA,2021,14.139772,64.87336,1885592,Europe
Latvia,LVA,2020,13.024328,63.025524,1901119,Europe
Latvia,LVA,2019,12.518104,59.081043,1914267,Europe
Latvia,LVA,2018,11.910884,57.190224,1927586,Europe
Latvia,LVA,2017,10.292159,51.901367,1942599,Europe
Latvia,LVA,2016,10.000746,49.281124,1959864,Europe
Latvia,LVA,2015,9.710845,45.860725,1977874,Europe
