country,country_code,report_year,top_1_share_pretax,next_9_share_pretax,middle_40_share_pretax,poorest_50_share_pretax,top_10_share_pretax
Serbia,SRB,2013,15.24,26.47,45.579998,12.710001,41.71
Yemen,YEM,2023,24.81,34.25,30.779999,10.16,59.06
Zambia,ZMB,1991,19.050001,40.079998,35.370003,5.5,59.129999
Zambia,ZMB,1993,16.83,39.13,35.14,8.900001,55.96
Zambia,ZMB,1996,18.960001,35.68,34.7,10.66,54.640001
Zambia,ZMB,1998,20.029999,35.57,34.01,10.39,55.599999
Zambia,ZMB,2002,19.6,31.95,35.05,13.400001,51.55
Zambia,ZMB,2004,23.199999,37.059998,31.36,8.38,60.259997
Zambia,ZMB,2006,21.48,38.93,31.259998,8.34,60.41
Zambia,ZMB,2010,18.84,39.309998,32.5,9.36,58.149998
Zambia,ZMB,2015,22.27,38.36,31.600002,7.76,60.63
Zambia,ZMB,2022,17.880001,37.97,34.78,9.36,55.850001
Zambia,ZMB,2023,17.880001,37.97,34.78,9.36,55.850001
Zimbabwe,ZWE,1991,17.29,34.66,35.79,12.259999,51.95
Zimbabwe,ZWE,1996,17.37,34.63,35.74,12.25,52
Zimbabwe,ZWE,2011,17.37,34.63,35.74,12.25,52
Zimbabwe,ZWE,2017,17.29,34.66,35.79,12.259999,51.95
Zimbabwe,ZWE,2019,17.29,34.66,35.79,12.259999,51.95
Zimbabwe,ZWE,2022,17.29,34.66,35.79,12.259999,51.95
Zimbabwe,ZWE,2023,17.29,34.66,35.79,12.259999,51.95
Afghanistan,AFG,2008,15.870001,25.099998,39.92,19.11,40.969999
Afghanistan,AFG,2012,13.56,24.3,41.170002,20.98,37.86
Afghanistan,AFG,2017,15.389999,25.04,39.809998,19.76,40.429999
Afghanistan,AFG,2022,15.539999,25,39.739998,19.72,40.539999
Afghanistan,AFG,2023,15.16,25.11,39.92,19.81,40.27
Albania,ALB,1996,8.09,23.95,48.4,19.56,32.04
Albania,ALB,2002,8.25,24.6,48.36,18.79,32.85
Albania,ALB,2005,8.030001,24.18,48.46,19.33,32.210001
Albania,ALB,2008,8.14,23.74,48.46,19.65,31.88
Albania,ALB,2012,8.58,24.07,47.72,19.63,32.65
Albania,ALB,2015,9.64,25.9,46.42,18.05,35.54
Albania,ALB,2016,9.5,25.39,47.06,18.039999,34.89
Albania,ALB,2017,9.62,25.34,46.98,18.06,34.96
Albania,ALB,2018,9.5,25.279999,47.1,18.109999,34.779999
Albania,ALB,2022,9.089999,25.11,47.47,18.32,34.199999
Albania,ALB,2023,9.17,25.18,47.37,18.279999,34.35
Algeria,DZA,1988,15.440001,30.230001,37.48,16.84,45.670002
Algeria,DZA,1989,15.360001,30.46,37.41,16.779999,45.820001
Algeria,DZA,1990,16.04,30.019999,37.26,16.689999,46.059999
Algeria,DZA,1991,15.05,32.13,36.489998,16.33,47.18
